;Mood;Valence;Sleep;Activity;Arousal;Participant;Screen;Calls;SMS;Entertainment;Finance;Communication;Games;Office;Social;Travel;Weather;Utilities;Mood..t.1.;Mood..t.2.;Mood..t.3.;Mood..t.4.;Valence..t.1.;Valence..t.2.;Valence..t.3.;Arousal..t.1.;Arousal..t.2.;Arousal..t.3.;Activity..t.1.;Activity..t.2.;Activity..t.3.;Screen..t.1.;Screen..t.2.;Screen..t.3.
1;TRUE; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2;TRUE; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;TRUE; ; ; ; ; ; 
3; ; ; ; ;TRUE; ; ; ; ; ; ; ; ;TRUE; ; ; ; ;TRUE; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
4; ; ; ; ;TRUE; ; ; ; ; ; ; ; ;TRUE; ; ; ; ;TRUE; ; ; ; ; ; ; ; ;TRUE; ; ; ; ; ; 
5; ; ; ; ;TRUE; ; ; ; ; ; ; ; ;TRUE; ; ; ; ;TRUE; ; ; ;TRUE; ; ; ; ;TRUE; ; ; ; ; ; 
6; ; ; ; ;TRUE; ; ; ; ; ; ; ; ;TRUE;TRUE; ; ; ;TRUE; ; ; ;TRUE; ; ; ; ;TRUE; ; ; ; ; ; 
7; ; ; ; ;TRUE; ; ; ; ; ; ; ; ;TRUE;TRUE; ; ; ;TRUE; ; ; ;TRUE; ; ; ; ;TRUE;TRUE; ; ; ; ; 
8; ; ; ; ;TRUE; ; ; ; ; ; ; ; ;TRUE;TRUE; ; ; ;TRUE; ; ; ;TRUE; ; ; ; ;TRUE;TRUE; ; ; ; ;TRUE
9; ; ; ;TRUE;TRUE; ; ; ; ; ; ; ; ;TRUE;TRUE; ; ; ;TRUE; ; ; ;TRUE; ; ; ; ;TRUE;TRUE; ; ; ; ;TRUE
10; ; ; ;TRUE;TRUE; ; ; ; ; ; ; ; ;TRUE;TRUE; ; ; ;TRUE; ; ; ;TRUE; ; ; ; ;TRUE;TRUE; ; ;TRUE; ;TRUE
11; ; ; ;TRUE;TRUE; ; ; ; ; ; ; ; ;TRUE;TRUE; ; ; ;TRUE; ;TRUE; ; ; ;TRUE; ; ;TRUE;TRUE; ; ; ;TRUE;TRUE
12; ; ; ;TRUE;TRUE; ; ; ; ; ; ; ; ;TRUE;TRUE; ; ; ;TRUE; ;TRUE; ;TRUE; ;TRUE; ; ;TRUE;TRUE; ; ; ;TRUE;TRUE
13; ; ; ;TRUE;TRUE; ; ; ; ; ; ; ; ;TRUE;TRUE; ; ; ;TRUE; ;TRUE; ;TRUE; ;TRUE; ; ;TRUE;TRUE; ; ;TRUE;TRUE;TRUE
14; ; ; ;TRUE;TRUE; ; ; ; ; ; ; ; ;TRUE;TRUE;TRUE; ; ;TRUE; ;TRUE; ;TRUE; ;TRUE; ; ;TRUE;TRUE; ; ;TRUE;TRUE;TRUE
15; ; ;TRUE; ;TRUE; ;TRUE; ; ;TRUE; ;TRUE; ;TRUE;TRUE; ; ; ; ; ;TRUE; ; ;TRUE;TRUE;TRUE; ;TRUE;TRUE; ;TRUE; ; ;TRUE
16; ; ;TRUE;TRUE;TRUE; ;TRUE; ; ; ; ;TRUE; ;TRUE;TRUE; ; ;TRUE; ; ;TRUE; ; ;TRUE;TRUE;TRUE; ;TRUE;TRUE; ;TRUE; ; ;TRUE
17; ; ; ;TRUE;TRUE; ;TRUE; ; ; ; ;TRUE; ;TRUE;TRUE; ; ; ;TRUE;TRUE;TRUE; ; ; ;TRUE;TRUE; ;TRUE;TRUE;TRUE;TRUE; ;TRUE;TRUE
18; ; ;TRUE;TRUE;TRUE; ;TRUE; ; ; ; ;TRUE; ;TRUE;TRUE; ; ; ;TRUE; ;TRUE; ; ;TRUE;TRUE;TRUE; ;TRUE;TRUE;TRUE;TRUE; ;TRUE;TRUE
19; ; ; ;TRUE;TRUE; ;TRUE; ; ; ; ;TRUE; ;TRUE;TRUE;TRUE; ; ;TRUE;TRUE;TRUE; ; ; ;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE; ;TRUE;TRUE
20; ; ;TRUE;TRUE;TRUE; ;TRUE;TRUE; ; ; ;TRUE; ;TRUE;TRUE;TRUE; ; ;TRUE; ;TRUE; ; ;TRUE;TRUE;TRUE; ;TRUE;TRUE;TRUE;TRUE; ;TRUE;TRUE
21; ; ;TRUE;TRUE;TRUE; ;TRUE;TRUE; ; ; ;TRUE; ;TRUE;TRUE;TRUE; ; ;TRUE;TRUE;TRUE; ; ; ;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE; ;TRUE;TRUE
22;TRUE;TRUE; ;TRUE;TRUE; ;TRUE;TRUE; ; ; ;TRUE; ;TRUE;TRUE;TRUE; ; ;TRUE;TRUE;TRUE; ; ; ;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE; ;TRUE;TRUE
23;TRUE;TRUE;TRUE;TRUE;TRUE; ;TRUE;TRUE; ; ; ;TRUE; ;TRUE;TRUE;TRUE; ; ;TRUE;TRUE;TRUE; ; ; ;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE; ;TRUE;TRUE
24;TRUE;TRUE;TRUE;TRUE;TRUE; ;TRUE;TRUE; ; ; ;TRUE; ;TRUE;TRUE;TRUE; ; ;TRUE;TRUE;TRUE; ;TRUE; ;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE; ;TRUE;TRUE
25;TRUE;TRUE;TRUE;TRUE;TRUE; ;TRUE;TRUE; ; ; ;TRUE; ;TRUE;TRUE;TRUE; ; ;TRUE;TRUE;TRUE;TRUE;TRUE; ;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE; ;TRUE;TRUE
26;TRUE;TRUE;TRUE;TRUE;TRUE; ;TRUE;TRUE; ; ; ;TRUE; ;TRUE;TRUE;TRUE; ; ;TRUE;TRUE;TRUE;TRUE;TRUE; ;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
