;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33
1;-11.56663648;-15.66298036;-16.34773817;-21.08249181;-21.05026289;-20.00591458;-20.55199691;-19.60867699;-19.34576161;-17.11709923;-14.90206099;-17.671083;-20.65335583;-23.66047961;-27.86719021;-29.1142057;-28.59485482;-27.31848194;-25.89460331;-23.30042059;-21.4804282;-20.61572632;-18.51554609;-17.08100939;-14.91346586;-12.31473085;-10.04986577;-7.165505008;-4.565708352;-1.085196281;2.499387584;6.241829731;10.02068083
2;-4.653370111;-6.550368456;-7.900554823;-9.096995098;-12.16940132;-18.0841818;-20.02892876;-21.86232045;-23.95127148;-24.34673999;-23.30050154;-20.91624897;-19.89360934;-22.32869602;-23.7183888;-24.1665339;-23.85701744;-26.57730246;-31.36616766;-38.85920619;-46.63838646;-50.74240011;-51.03026163;-75.68875585;-114.2987739;-210.7214671;-252.1580059;NA;NA;NA;NA;NA;NA
3;0.047317631;-2.109393065;-5.636262737;-6.010844333;-7.371973934;-8.216250612;-9.60508609;-12.67161827;-13.72500413;-15.01681469;-14.18243773;-13.08939277;-11.9043951;-9.988143905;-8.098382806;-5.685720129;-4.098062135;-3.573966459;-1.937173823;0.572043228;2.948569767;5.524661449;8.724533984;12.05661319;15.15691067;18.75867667;22.43587391;26.09750847;29.68052072;33.36188227;37.06417022;40.76982455;NA
4;-21.9971249;-25.14185627;-28.16015451;-30.09458229;-30.24505726;-28.55357618;-26.49490058;-24.26356394;-22.18515127;-19.73819763;-17.68410068;-15.83023939;-13.59803317;-10.9365221;-8.036354279;-5.26859343;-3.146201941;-0.555416166;2.206658363;5.734860467;8.695556027;12.27270758;15.96098174;19.63647979;23.36983255;27.11096734;30.90633018;34.72711475;38.55564389;42.38428513;NA;NA;NA
5;3.009870722;3.180259143;1.199141981;3.66829223;5.824496724;8.29958908;10.92323945;13.12534956;14.17309588;16.51821501;18.59305651;21.83498404;24.96698023;28.23158591;31.39355881;34.57122657;37.96395298;41.37207543;44.74385431;48.11239642;51.37045785;54.96639935;58.41270472;61.97480094;65.54269267;69.17638859;72.89410777;76.62827953;80.35215197;84.11072864;87.87132875;NA;NA
6;4.756525687;5.427047386;5.763440038;7.43650677;7.285749263;9.428027025;10.19723547;11.47514684;12.66200458;13.97557227;15.98744204;18.44647621;20.62737795;22.52402979;25.14702128;28.06480697;31.21726734;33.79668636;36.55967463;39.49869783;42.52769453;45.81360368;49.15261906;52.53180791;56.00697221;59.56863028;63.14958685;66.77549866;70.40150472;74.03755896;NA;NA;NA
7;-1.494010959;-1.661835365;-0.834672986;-2.645120867;-1.71537829;-1.260377403;-1.088687621;0.305073045;1.746086347;3.038111324;4.078315293;4.6948947;6.304331364;9.178230094;11.138431;13.03318522;13.77521879;16.09813471;18.86005074;21.40882066;24.29070677;27.18828729;29.98927641;33.60307065;37.31358471;40.86759913;44.58533453;48.39537095;52.21052378;56.03795852;NA;NA;NA
8;-1.196108431;-5.791590067;-8.199120524;-8.116444685;-8.01427411;-8.41733382;-8.330117497;-9.765059551;-10.44360752;-11.22758087;-10.93653906;-10.22883017;-13.32429199;-12.01910488;-10.69545818;-10.80183576;-14.55687533;-19.74783463;-21.03884711;-23.54191348;-30.05201535;-37.07090335;-44.1355555;-51.49265477;-60.25445748;-77.69889341;-96.44673555;-163.107347;-213.1727879;-230.9291846;-305.4132253;INF;NA
9;-1.741725702;-1.22483194;-1.067852632;0.234413905;2.29091764;3.901675723;5.895463561;6.953271391;8.374550647;7.761986308;9.097136576;10.86339848;12.72346386;13.95034887;15.10587246;16.69026443;19.10033368;20.97587433;23.61140542;25.49773828;28.28253788;30.39810608;31.88279845;34.05009843;37.26328672;40.18469339;42.44099538;45.60983746;48.63192544;51.86412711;55.32854682;58.97876171;62.58164259
10;-3.031097239;-3.374031158;-3.166211919;-2.947147885;-2.339920164;-0.83210043;-0.106624608;2.253963564;3.986183844;5.212676168;6.569798065;7.742217793;9.64546428;11.89873261;13.94109354;16.41661356;19.27837234;22.07017072;24.65635603;27.51269498;30.35838273;32.95347258;36.20099201;39.45967053;42.75534429;46.183625;49.70601385;53.16047177;56.72233884;60.31591943;NA;NA;NA
11;-2.270740463;-3.817894097;-3.65046761;-4.172319819;-4.128563779;-3.450754255;-2.102190335;-1.316032361;-0.879829014;0.365613476;1.887098141;3.453781768;5.283641024;7.31584091;9.860494214;11.2191659;13.83070857;16.6939821;19.63146784;22.72352165;25.74330011;28.98086685;32.22754482;35.58778691;39.11543236;42.69724022;46.27308192;49.87167057;53.47398914;57.08000681;60.68883963;NA;NA
12;0.661662715;-0.166763595;-1.460421253;-1.134661401;-1.75061694;-2.482061816;-2.826000523;-2.547160995;-2.218238145;-1.148660471;0.695560672;2.40151196;3.015728678;2.456011797;2.3188337;2.040296658;-0.783843464;-6.657376703;-9.155941829;-13.90863618;-17.89999566;-15.64351316;-13.48073935;-11.97273794;-11.37196542;-9.56815241;-6.690879303;-4.210728544;-0.918299762;2.633486607;6.201861996;NA;NA
13;-0.751704614;-0.937725336;-2.432077401;-11.56509349;-13.33453743;-12.96892683;-14.14004572;-14.61842492;-16.09172982;-16.25562213;-16.11791658;-16.19069459;-16.60627333;-16.56107513;-17.04715295;-19.04505118;-18.37882098;-17.82616482;-19.37198914;-18.76730322;-16.89811553;-15.37836506;-12.69079945;-9.948828931;-6.996580355;-3.712110008;-0.342820212;3.216795348;6.543858851;10.12328834;13.89127767;17.67069072;NA
14;-7.803481329;-16.59354097;-18.52237105;-18.89200454;-19.05637916;-19.58056353;-19.11302685;-18.04961967;-16.82413493;-14.84378473;-12.96840277;-12.11345613;-11.05633627;-8.811634686;-7.557761355;-4.979607012;-2.473309146;-0.100027408;1.796766834;3.597086583;5.889947885;8.933608747;11.68749561;13.92792763;17.42950109;20.97352526;24.387761;28.01609391;31.49381293;35.18409725;38.93450495;42.69556246;NA
15;1.699207296;-0.680303633;-6.524348411;-7.736919057;-8.926019063;-11.50545125;-11.86286005;-13.65805857;-18.29899119;-24.49347472;-24.99317324;-26.70756016;-27.53624342;-26.70557835;-26.798775;-28.57494824;-29.39296431;-29.82147874;-29.43042901;-27.43698197;-24.60609865;-21.40017673;-18.24270588;-15.11319101;-11.42748595;-7.680805397;-3.978966461;-0.208012868;3.54415172;7.350798584;NA;NA;NA
16;1.106524447;0.365642489;0.318160715;-0.860477727;-8.149940851;-9.134515566;-10.79893033;-11.9737262;-13.69518781;-14.43827681;-13.54229106;-12.3614522;-13.63985313;-14.85583915;-14.98963317;-17.25425931;-18.4113786;-19.02848737;-20.97509041;-22.42588276;-30.18545585;-34.79781955;-35.9032328;-38.68575523;-51.77579057;-64.5245955;-82.0111503;-110.4998605;-156.6360547;-173.2680203;INF;NA;NA
17;-0.308911892;-3.389758161;-2.818206155;-1.339201522;-0.055887795;0.458842166;1.739972409;-1.333669046;-3.058961819;-5.726799812;-7.175407043;-7.392977526;-6.591687643;-6.63632277;-6.284830354;-4.454622847;-2.629325164;-1.258393783;-0.70965359;1.524585892;2.86640074;5.601601457;8.474836263;10.40599109;11.23962758;7.666592142;6.699798982;2.639986959;3.377078643;5.630672914;9.240202236;NA;NA
18;3.290111674;3.429313024;3.993642416;4.574090384;6.360919321;7.831778156;8.312810009;8.614936119;10.52309123;12.55523802;13.65753057;16.53404625;19.6703686;22.96132874;26.08618745;29.28217811;32.73211303;36.24401608;39.76820943;43.14875636;46.72036513;50.47667344;54.17092559;57.95687098;61.71209624;65.547211;69.37665861;73.22473082;77.07891184;80.94557462;NA;NA;NA
19;0.530112973;-4.436855557;-8.48243983;-11.61342835;-13.05686769;-14.75302446;-22.17319383;-27.21575963;-31.67045452;-33.71352149;-35.00093799;-45.69889891;-45.84637595;-50.85357502;-53.50928589;-57.040269;-59.10504583;-56.44569475;-54.56644892;-51.60775701;-48.37351574;-45.05853874;-41.73198429;-38.40066897;-35.06846885;-31.73626434;NA;NA;NA;NA;NA;NA;NA
20;-5.061257949;-8.866612795;-11.57057064;-15.07494963;-15.33780466;-14.97124234;-14.95243544;-15.98721802;-16.03416104;-14.82219495;-12.24906468;-9.835001777;-7.390822914;-5.602068917;-3.83424923;-0.479760993;2.599675948;5.706536342;8.728709887;11.33116185;14.53773193;17.93940447;21.39626926;24.84204907;28.40565972;31.95619064;35.63141474;39.35591597;43.07786704;46.81553531;NA;NA;NA
21;2.418837968;1.513605367;2.026851288;3.436138524;4.258030731;4.556852645;5.353873039;5.687478053;7.093603685;7.482627022;6.074615555;7.383850886;8.597725952;10.46909232;10.39222245;11.92129769;13.90445251;16.1284877;18.31740212;20.98864292;23.28512895;25.09487444;28.05728342;30.8883782;34.11964879;37.38307309;40.69470727;44.19882512;47.78796034;51.35245906;55.02310392;58.69402193;NA
