,Participant,Day,Mood,Valence,Arousal,Activity,Screen,Calls,SMS,Communication,Entertainment,Finance,Games,Office,Social,Travel,Utilities,Weather
0,1.0,0.0,-1.359600101645771,0.17013451147925412,-0.013738282502980837,,-2.0645300499218817,-0.4690866207561369,1.6667738443566695,-1.7521754499743014,-0.9446375866900877,-0.47324205916774953,-0.3129108546637483,-0.3278375293854201,-1.131936245989054,-0.42508206399891957,-1.1462835463804835,-0.14744195615489714
1,1.0,1.0,-1.2201387206388956,-1.2680529057014946,0.4960243051076253,,-2.0645300499218817,-0.8773657165994412,-0.5092920079978712,-1.7521754499743014,-0.9446375866900877,-0.47324205916774953,-0.3129108546637483,-0.3278375293854201,-1.131936245989054,-0.42508206399891957,-1.1462835463804835,-0.14744195615489714
2,1.0,23.0,-1.4432769302498973,-1.7282728791993345,0.9038343751961102,0.9420446340182291,1.1425052342425999,1.5723088584603846,-0.5092920079978712,0.21867504918831934,-0.09223945549026806,-0.2810258801774768,-0.3129108546637483,4.029619921826607,1.9650438686758902,2.519957643280691,1.709355798479828,-0.14744195615489714
3,1.0,24.0,-1.1085696158333909,-0.6927779388291951,1.71945451537308,3.2733416817808125,-0.9689057693990706,0.3474715709304717,0.5787409181793991,-0.19488509500818083,-0.865677112787414,-0.391473364908122,-0.3129108546637483,-0.3278375293854201,-0.8299441063039308,-0.30506971341525163,-0.5853133392807152,-0.14744195615489714
4,1.0,25.0,-0.4391549870003799,0.34271700154094414,0.9038343751961102,1.1390815637015372,-0.8562297768537326,-0.8773657165994412,-0.5092920079978712,-0.10878211472660865,-0.8648124091278138,-0.3048511578130989,-0.3129108546637483,-0.3278375293854201,-0.5131316614233107,-0.42508206399891957,-1.0027942914786918,6.782329983125267
5,1.0,26.0,-1.7779842446664036,-2.418602839446094,2.127264585461565,-0.30689819133281676,0.6195811472598601,3.205425241833602,-0.5092920079978712,1.1568109822353811,-0.11803249958313813,-0.34092078917254853,-0.3129108546637483,-0.25167324400542057,1.082437851630308,0.9254549910011257,-0.29385645380895464,-0.14744195615489714
6,1.0,27.0,-0.5228318156045061,-0.6927779388291951,1.5155494803288374,0.1332219103656316,1.7661934318622114,-0.8773657165994412,0.5787409181793991,1.4725172031560618,-0.8869291935328532,-0.3062051753826857,-0.3129108546637483,-0.3278375293854201,0.186587324527977,-0.42508206399891957,-0.08323925691611352,-0.14744195615489714
7,1.0,28.0,-0.7738623014168862,-0.34761295870581554,0.08821423501914036,0.19974438205895456,0.8651090715247,-0.8773657165994412,-0.5092920079978712,1.06836245737633,-0.17429069501771638,-0.2702131381532985,-0.3129108546637483,-0.3278375293854201,2.0224422409507676,-0.42508206399891957,-0.9871557464137787,-0.14744195615489714
8,1.0,29.0,-0.10444767258387361,0.34271700154094414,0.9038343751961102,1.5192692588337358,1.0467597787367655,-0.060807524912832596,0.5787409181793991,0.42439954778039757,-0.4036994526145932,-0.3094447303127858,-0.3129108546637483,4.288856833360857,-0.4894040608641988,-0.27287017938517716,-0.29243997077013834,-0.14744195615489714
9,1.0,30.0,-1.1085696158333909,-0.34761295870581554,-0.7274059051578293,0.07255133290189163,-1.1862896239119716,1.1640297626170801,-0.5092920079978712,-1.4801760596425755,-0.09397647761664701,-0.12730414911109966,3.1252835145459357,-0.3278375293854201,-0.779724051029884,3.2198736610366234,0.29269629544640785,-0.14744195615489714
10,1.0,31.0,1.5690888994986563,1.0330469617877034,0.9038343751961102,-0.5508021012894823,-0.5799602476621893,0.755750666773776,0.5787409181793991,-0.8984624910994047,0.4323133057165197,-0.47324205916774953,-0.3129108546637483,-0.3278375293854201,-0.8070998852341076,-0.2563956251072261,1.7183363963319882,-0.14744195615489714
